Response;Submitted on:;Q16_KRITIK DAN SARAN;sentimen
297450;16/09/2025 13.52;Saya sangat mengapresiasi kegiatan PKKMB UNPAM karena memberikan banyak informasi penting mengenai kampus, program studi, serta motivasi untuk menjadi mahasiswa baru yang aktif dan berprestasi. Kegiatan ini sudah berjalan dengan baik, namun menurut saya akan lebih menarik jika durasinya dibuat lebih singkat dan padat agar peserta tidak cepat merasa lelah. Selain itu, interaksi dua arah juga sebaiknya lebih diperbanyak melalui sesi tanya jawab atau games sehingga mahasiswa baru bisa lebih aktif terlibat. Materi tentang motivasi dan pengembangan diri juga bisa ditambah supaya kami lebih semangat dan siap menghadapi dunia perkuliahan. Dengan penyampaian yang lebih kreatif, misalnya lewat video singkat, animasi, atau kuis interaktif, saya yakin kegiatan PKKMB akan menjadi lebih menarik, interaktif, dan inspiratif bagi semua mahasiswa baru.;netral
324732;19/09/2025 17.49;MENURUT SAYA PKKMB UNPAM SUDAH BAGUS, MUNGKIN SAJA DALAM PKKMB ONLINE WEB NYA DI PERBAIKI LAGI, DAN DALAM MENJAWAB  SOAL BISA DI TAMBAHKAN LAGI WAKTUNYA. ;positif
341170;20/09/2025 17.53;Kegiatan PKKMB sudah sangat baik dan berjalan dengan lancar;positif
285492;12/09/2025 22.33;-;netral
337470;20/09/2025 10.41;semoga kedepannya bisa menjadi lebih baik;positif
295804;16/09/2025 08.39;Terimakasih atas kegiatan PPKMB, semoga sukses selalu dan UNPAM menjadi kampus terbaik di Indonesia. Untuk kedepannya dapat menjadi lebih baik lagi.;positif
337656;20/09/2025 11.00;untuk masukan kegiatan ppkmb online terutama tolong banget untuk server spmb nya kalo udah tanggalnya tuh aman gitu min .soalnya pas udah tanggal masih juga banyak yang kebingungan mengenai pengerjaan pkkmb online nya;positif
316568;19/09/2025 00.18;Untuk kegiatan PKKMB ini materi sudah sangat bagus dan mudah di pahami. Namun sistem spmb nya sangat tidak baik, jadi beberapa kali loading dan sangat lama ;positif
316570;19/09/2025 00.18;untuk kegiatan unpam sangat bagus, tapi di perabaiki sistem dan pengetahuan karyawannya agar lebih jelaas dalam menyampaikan informasi dan sistemnya sangat bermasaalh.;positif
330698;20/09/2025 01.15;sudah cukup baik, hanya untuk web masih terjadi error, mohon ditingkatkan lagi;netral
346510;21/09/2025 01.53;Pkkmb online;netral
346512;21/09/2025 01.54;Pkkmb online;netral
340390;20/09/2025 16.28;Buat pkkmb online bikin yang lebih proper biar ga eror mulu;netral
352890;21/09/2025 14.05;Keren semoga tahun selanjutnya bisa lebih baik lagi dan berkembang lagi;positif
296270;16/09/2025 10.34;Masukan Unutk Lebih banyak informasi tentang kegiatan ini;positif
338786;20/09/2025 13.19;Unpam semakin didepannn;netral
338956;20/09/2025 13.37;Unpam semakin didepannn;netral
340700;20/09/2025 16.58;web nya eror mulu;netral
317838;19/09/2025 03.48;SANGAT MEMBANTU UNTUK MAHASISWA BARU;positif
309732;18/09/2025 12.06;Untuk pasword spmbnya suka tiba tiba berubah;positif
292972;15/09/2025 19.37;Kegiatan yang interaktif dan menyenangkan akan membuat saya lebih mudah beradaptasi, dibandingkan dengan kegiatan yang terlalu formal dan tidak menegangkan. Saya juga berharap ada sesi sharing dari alumni atau kakak tingkat agar semua yang ikut PKKMB online ini mendapat motivasi dan gambaran nyata tentang kehidupan kampus. Dengan begitu, PKKMB akan terasa lebih bermanfaat dan berkesan bagi kami yang ikut PKKMB online secara pribadi, terimakasih ;netral
336904;20/09/2025 09.53;Sebaiknya untuk yang mahasiswa yang bukan maba tidak perlu untuk membuat video;positif
294376;15/09/2025 23.35;Sudah baik;positif
313386;18/09/2025 18.41;PKKMB UNPAM bisa menjadi lebih efektif, tidak hanya sebagai pengenalan kampus tetapi juga sebagai pengalaman yang lebih berkesan dan bermanfaat bagi setiap mahasiswa baru.;positif
288020;13/09/2025 15.39;"Bangga banget bisa jadi bagian dari Universitas Pamulang! Ilmu, pengalaman, dan teman-teman keren di sini buat kuliah jadi makin seru!""";positif
330318;20/09/2025 00.49;saran aja untuk kegiatan PKKMB yang online saat mengisi quiz di spmb sangat lemot kalo bisa ditingkatan lagi menit waktunya agar bisa menyelsaikan quiz tepat waktu;netral
353272;21/09/2025 15.22;sudah cukup baik;positif
337446;20/09/2025 10.39;MUNGKIN UNTUK WAKTU PKKMB NYA LEBIH DIBAGI LAGI MENJADI BEBERAPA AGAR PAS HARI H PKKMB TIDAK MEMBLUDAK.;netral
292142;15/09/2025 17.35;sudah sangat baik dan jelas;positif
302728;17/09/2025 15.38;Tidak ada, sudah cukup bagus, terima kasih.;positif
297318;16/09/2025 13.36;PKKMB adalah kegiatan yang penting bagi mahasiswa baru untuk beradaptasi dengan lingkungan kampus dan memahami budaya akademik. Sejauh ini Kegiatan PKKMB di UNPAM sudah sangat bagus, dan semoga kedepannya ada kegiatan baru lagi.   Terimakasih. ;positif
322680;19/09/2025 14.45;sangat baik untuk mengenal universitas pamulang;positif
307546;18/09/2025 02.38;Web lebih di perhatikan lgi, agar tidak membingungkan karena saat jadwal di mulai web tidak bisa di akses menggunakan Nim, hingga jadwal molor 1mingguan ;netral
324540;19/09/2025 17.35;Sukses dan lancar Trus PKKMB Gasal 2025/2026  Umpan Jaya jaya jaya;positif
348284;21/09/2025 05.54;Oke bangetttt cmn server down terus... tapi selebh nya oke bgt;positif
348354;21/09/2025 06.04;walaupun server down terus, tapi pkkmb tahun ini oke;positif
301508;17/09/2025 12.49;Cukup,sudah baguss;positif
312980;18/09/2025 17.59;Sudah puas;positif
293390;15/09/2025 21.02;Saya sebagai mahasiswa lama yang mengikuti kegiatan PKKMB online, saya rasa terlalu banyak step yang wajib diikuti. Terus web spmb selalu lag saat mengisi kuisioner.;netral
314324;18/09/2025 20.44;sudah cukup baik;positif
288896;13/09/2025 19.28;Semoga selalu memberikan penyambutan PKKMB yang selalu bagus, sehingga membuat mahasiswa menjadi betah untuk mengikuti acara PKKMB ;positif
290060;15/09/2025 11.56;-;netral
348368;21/09/2025 06.06;PKKMB tahun ini keren;positif
324212;19/09/2025 17.03;SEMUA SUDAH BAGUS DAN PUAS;positif
289454;15/09/2025 10.17;Kegiatan PKKMB sudah berjalan baik dan bermanfaat. Akan lebih bagus jika jadwal dibuat lebih ringan serta memberi ruang interaksi agar mahasiswa baru lebih nyaman dan terlibat.;positif
342808;20/09/2025 20.49;Sudah cukup Baik;positif
315218;18/09/2025 22.15;sangat bagus dan asyik serta menmbah wawasan terhadap kampus;positif
309990;18/09/2025 12.37;Sudah cukup baik;positif
285722;12/09/2025 23.05;Sudah bagus tidak ada perpeloncoan dan futuristik, Lanjutkan;positif
290122;15/09/2025 12.04;di tingkatkan lagi akses web nya agar tidak terjadi down sistem;netral
292926;15/09/2025 19.31;kegiatan ini sangat bermanfaat bagi mahasiswa baru dan menjadi bekal untuk bahan pembelajaran;positif
292344;15/09/2025 17.58;dalam kegiatan pkkmb sendiri memberikan wawasan bagi mahasiswa yang ingin menuntun ilmu di universitas Pamulang    masukan dalam kegiatan PKKMB adalah: informasi terkait kegiatan ini di harapkan memberikan informasi yang pasti......  dari web sendiri tanggal pkmb tapi pas pelaksanaan tidak sesuai di jadwal di web pkkmb;netral
288458;13/09/2025 17.32;Sangat sempurna ;netral
297238;16/09/2025 13.25;kegiatannya menyenangkan jadi maha siswa dapat lebih mengenal mlingkungan kampus;positif
321128;19/09/2025 12.02;kegiatan menyenangkan dan manfaatnya bisa mengenal lingkungan universitas pamulang;positif
347622;21/09/2025 03.47;baik;positif
302076;17/09/2025 14.21;tidak ada;netral
348506;21/09/2025 06.25;Sudah Cukup Baik;positif
292996;15/09/2025 19.43;Kegiatan ini sangat positif dan bermanfaat, namun kekurangan nya adalah pkkmb daring sulit diakses;netral
305188;17/09/2025 20.42;Kegiatan PKKMB online berjalan dengan lancar dan vidio materi yang diberikan sangat menarik, jelas, dan mudah untuk dipahami.;positif
307780;18/09/2025 06.15;Kegiatan pkkmb adalah sarana buat mahasiswa/i baru yang didalam terdapat beberapa etika/moral/budi pekerti;netral
314986;18/09/2025 21.50;semoga untuk pkkmb tahun selanjutnya lebih asyik dan menyenangkan.;positif
342114;20/09/2025 19.40;PKKMB UNPAM sebaiknya lebih interaktif, menghadirkan materi yang relevan, menambah kegiatan kreatif, serta menciptakan suasana ramah agar mahasiswa baru lebih mudah beradaptasi.;positif
295996;16/09/2025 09.39;lebih disosialisasikan lagi pkkmb onlinenya ;positif
353274;21/09/2025 15.23;Sangat bermanfaat ;positif
354966;21/09/2025 23.37;Teruss jadi yang terbaik;positif
314470;18/09/2025 21.01;Kegiatan pkkmb online sangat membantu mahasiswa lama maupun baru tetapi perlu diperjelas lagi terkait alur absensi atau teknis pengambilan sertifikat agar tidak membingungkan peserta;netral
339250;20/09/2025 14.10;semoga untuk tahun depan lebih seru lagi kegiatan dalam pkkmb offlinenya;positif
312396;18/09/2025 17.02;Menurut saya kegiatan sudah cukup bagus;positif
355092;22/09/2025 00.52;Untuk PKKMB Online bagi mahasiswa lama yang belum mengikuti kegiatan PKKMB atau sertifikat hilang, sebaiknya tidak perlu membuat sebuah video/konten karena dikhawatirkan bentrok dengan tugas dari dosen dan kegiatan lain, apalagi pelaksanaan PKKMB Online digelar saat jadwal masuk kuliah. Mohon dievaluasi kembali dan pertimbangkan tugas pembuatan video diwajibkan untuk mahasiswa baru saja, terima kasih.;positif
322326;19/09/2025 14.15;Semoga kedepannya lebih baik lagi;positif
352378;21/09/2025 12.56;Seru dan bahagia untuk kedepannya lebih asik lagi ;positif
320732;19/09/2025 11.16;Kegiatan PKKMB sudah berjalan cukup baik karena memberikan banyak informasi penting tentang dunia perkuliahan dan kehidupan kampus. Namun, alangkah lebih baik jika materi disampaikan lebih ringkas agar tidak terlalu padat dan melelahkan. Selain itu, bisa ditambahkan lebih banyak sesi interaktif agar mahasiswa baru lebih aktif dan tidak hanya mendengar, sehingga suasana lebih hidup dan menyenangkan.;positif
327012;19/09/2025 20.55;Sangat luar biasa sekali ;positif
335054;20/09/2025 07.01;Tolong Air minum disediakan ;netral
336934;20/09/2025 09.54;PPKMB MEMBERIKAN MAHASISWA UNTUK LEBIH MENGENAL AREA KAMPUS;netral
286570;13/09/2025 09.55;di pkkmb online ini semua materi penyampaian sangat jelas dan mudah dimengerti bagi mahasiswa. ;positif
353738;21/09/2025 17.05;Sudah baik dan sesuai dan jelas;positif
353656;21/09/2025 16.49;Bagus keren;positif
298674;16/09/2025 16.54;Bagus;positif
292732;15/09/2025 18.59;Semoga lebih baik lagi;positif
316210;18/09/2025 23.46;PKKMB sebaiknya dibuat lebih interaktif, waktu lebih efektif, serta informasi penting disampaikan jelas dan mudah diakses oleh mahasiswa baru.;positif
297336;16/09/2025 13.39;Masukannya semoga untuk tahun depan pelaksanaan pkkmbnya jauh lebih baik dan lebih mudah untuk dikerjakan terutama untuk mahasiswa reg cs ;positif
286318;13/09/2025 07.21;Informasi dari panitia perlu lebih lengkap dan jelas agar peserta bisa mempersiapkan diri dengan baik sebelum kegiatan.;positif
294206;15/09/2025 23.10;mohon untuk diperbaiki kendala yang terjadi di website spmb nya;positif
323480;19/09/2025 15.57;Sebaiknya kegiatan PKKMB lebih menekankan pada pengembangan soft skill dan penanaman nilai-nilai akademik agar mahasiswa baru siap menghadapi dunia perkuliahan;positif
353712;21/09/2025 16.58;Lebih baik lagi untuk kegiatan berikutnya;positif
300650;16/09/2025 22.01;sudah cukup bagus. namun saran saya untuk penggunaan web dimaksimalkan lagi karna lola dan kadang tidak bisa masuk.;positif
337282;20/09/2025 10.25;Sangat bagus untuk pkkmb online ini dan sangat puas;positif
337302;20/09/2025 10.26;Sangat bagus untuk pkkmb online ini dan sangat puas;positif
291062;15/09/2025 14.54;sangat baik;positif
298716;16/09/2025 17.01;selalu berikan yang terbaik ;positif
282936;12/09/2025 13.48;PKKMB tahun ini seperti nya lebih meriah dari pada tahun sebelum nya   Semoga tahun depan lebih meriah ;netral
343008;20/09/2025 21.09;sangat berguna bagi mahasiswa baru;positif
289604;15/09/2025 10.42;sangat gampang dan simpel;netral
286118;13/09/2025 01.01;Lebih baik lagi kedepannya dan lebih kreatif lagi;positif
289942;15/09/2025 11.39;PKKMB sebaiknya dilaksanakan dengan suasana inklusif, ramah, dan menghargai keberagaman, termasuk bagi mahasiswa disabilitas. Hal ini agar semua peserta merasa dihargai, setara, dan dapat mengikuti kegiatan dengan nyaman.;positif
321614;19/09/2025 13.06;Lebih di serukan lagi;positif
309434;18/09/2025 11.31;perfect ;positif
308352;18/09/2025 08.42;sistem servernya diperbaiki lagi agar mempermudah aksesnya;positif
285006;12/09/2025 20.52;Sukses terus kedepannya ;netral
326606;19/09/2025 20.26;sudah top pokonya;positif
340726;20/09/2025 17.01;lakukan koordinasi sistem kegiatan pada pmb;netral
301808;17/09/2025 13.42;Terus berupaya untuk selalu meningkatkan kualitas ;netral
294130;15/09/2025 22.54;UNIVERSITAS PAMULANG TERBAIK;positif
342208;20/09/2025 19.48;WEBSITE PKKMBNYA NGAPA NGELEG BANGETT DAH SAMA WEBSITE MENTARI TUH TOLONG APA JANGAN NGELEK MULU;netral
307338;18/09/2025 01.17;tambahkan games edukatif dan hiburan singkat untuk mencairkan suasana;positif
